一级知识点,二级知识点,三级知识点,四级知识点,五级知识点,六级知识点,七级知识点,前置知识点_x,后置知识点_x,前置知识点_y,后置知识点_y
函数,,,,,,,,多对一,,
,元函数,,,,,,函数,,,
,多对一,,,,,,函数,,,
,满射函数,,,,,,函数,,,
,,双射函数,,,,,满射函数,,,
,,满同态关系,,,,,满射函数,,,
,,,全排列,,,,双射函数,,,
,,,双射关系,,,,双射函数,,,
,,,双射函数集,,,,双射函数,,,
,,,反函数,,,,双射函数,,,
,,,反函数存在性,,,,双射函数,,,
,,,同构映射,,,,双射函数,,,
,,,图同构,,,,双射函数,,,
,,,定理7.8,,,,双射函数,,,
,,,恒等函数,,,,双射函数,,,
,,,逆函数,,,,双射函数,,,
,,,,O(N!),,,全排列,,,
,,,,不变量,,,图同构,,,
,,,,充分条件,,,图同构,,,
,,,,单位元,,,恒等函数,,,
,,,,可逆函数,,,逆函数,,,
,,,,可逆函数集,,,双射函数集,,,
,,,,同态映射,,,同构映射,,,
,,,,同构定义,,,同构映射,,,
,,,,同构的代数系统,,,同构映射,,,
,,,,同构的代数结构,,,同构映射,,,
,,,,哈密顿通路,,,全排列,,,
,,,,图同构,,,同构映射,,,
,,,,图同构映射,,,图同构,,,
,,,,图的结构,,,图同构,,,
,,,,外观相似,,,图同构,,,
,,,,定理1.14,,,全排列,,,
,,,,定理7.8,,,恒等函数,,,
,,,,定理证明,,,定理7.8,,,
,,,,实数,,,恒等函数,,,
,,,,对数,,,同构映射,,,
,,,,常值函数,,,恒等函数,,,
,,,,常函数,,,恒等函数,,,
,,,,必要条件,,,图同构,,,
,,,,恒等,,,恒等函数,,,
,,,,恒等关系,,,恒等函数,,,
,,,,恒等函数定义,,,恒等函数,,,
,,,,排列方案,,,全排列,,,
,,,,欧拉回路,,,全排列,,,
,,,,欧拉通路,,,全排列,,,
,,,,简单无向图,,,图同构,,,
,,,,结构等价关系,,,图同构,,,
,,,,结点排列次序,,,图同构,,,
,,,,运算对应性,,,同构映射,,,
,,,,运算对应转化关系,,,同构映射,,,
,,,,逆元,,,反函数,,,
,,,,选排列,,,全排列,,,
,,,,重排,,,全排列,,,
,,,,,R-排列,,排列方案,,,
,,,,,一一变换,,逆元,,,
,,,,,一笔画问题,,欧拉回路,,,
,,,,,上取整函数,,实数,,,
,,,,,下取整函数,,实数,,,
,,,,,不变量,,图同构,,,
,,,,,主对角线,,恒等关系,,,
,,,,,乘法,,实数,,,
,,,,,二元运算,,实数,,,
,,,,,充分条件,,图同构,,,
,,,,,减法,,实数,,,
,,,,,加法,,实数,,,
,,,,,半哈密顿图,,哈密顿通路,,,
,,,,,半欧拉图,,欧拉回路,,,
,,,,,单位元,,恒等关系,,,
,,,,,单位矩阵,,逆元,,,
,,,,,单同态,,同态映射,,,
,,,,,可逆元素,,逆元,,,
,,,,,右逆元,,逆元,,,
,,,,,同余关系,,同态映射,,,
,,,,,同态映射定义,,同态映射,,,
,,,,,同态核,,同态映射,,,
,,,,,同构关系,,同态映射,,,
,,,,,哥尼斯堡七桥问题,,欧拉回路,,,
,,,,,回路,,欧拉回路,,,
,,,,,图同构映射,,图同构,,,
,,,,,图的结构,,图同构,,,
,,,,,圆排列,,欧拉回路,,,
,,,,,基本回路,,哈密顿通路,,,
,,,,,基本通路,,哈密顿通路,,,
,,,,,外观相似,,图同构,,,
,,,,,多项式,,恒等,,,
,,,,,大小关系,,实数,,,
,,,,,奇度数结点,,欧拉通路,,,
,,,,,子代数结构,,同态映射,,,
,,,,,定理10.1,,欧拉回路,,,
,,,,,定理10.4,,哈密顿通路,,,
,,,,,定理11.4,,逆元,,,
,,,,,定理12.13,,同态映射,,,
,,,,,定理12.2.7,,逆元,,,
,,,,,定理证明,,定理7.8,,,
,,,,,实数加法群,,实数,,,
,,,,,实数集合,,实数,,,
,,,,,左逆元,,逆元,,,
,,,,,布鲁英序列,,欧拉回路,,,
,,,,,常值函数,,实数,,,
,,,,,幺元,,逆元,,,
,,,,,度,,欧拉通路,,,
,,,,,度数偶数,,欧拉回路,,,
,,,,,延长通路法,,哈密顿通路,,,
,,,,,异或运算,,同态映射,,,
,,,,,弗洛莱算法,,欧拉回路,,,
,,,,,必要条件,,图同构,,,
,,,,,恒等变形,,恒等,,,
,,,,,推论10.1,,欧拉通路,,,
,,,,,插空方法,,排列方案,,,
,,,,,无向图,,欧拉回路,,,
,,,,,最优路线问题,,欧拉回路,,,
,,,,,最大基本通路,,哈密顿通路,,,
,,,,,有向图,,欧拉回路,,,
,,,,,有限步,,哈密顿通路,,,
,,,,,有限群,,单位元,,,
,,,,,模2加法,,逆元,,,
,,,,,模4加运算,,同态映射,,,
,,,,,模逆,,逆元,,,
,,,,,次序关系,,实数,,,
,,,,,欧拉道路,,欧拉回路,,,
,,,,,正实数群,,对数,,,
,,,,,正规子群,,单位元,,,
,,,,,满同态,,同态映射,,,
,,,,,满同态映射,,同态映射,,,
,,,,,环排列,,排列方案,,,
,,,,,等价关系,,恒等关系,,,
,,,,,简单无向图,,图同构,,,
,,,,,结构等价关系,,图同构,,,
,,,,,结点排列次序,,图同构,,,
,,,,,群结构,,逆元,,,
,,,,,自反闭包,,恒等关系,,,
,,,,,自然等价关系,,同态映射,,,
,,,,,蓝色珠子,,排列方案,,,
,,,,,行走路径,,欧拉通路,,,
,,,,,谓词公式等值关系,,恒等关系,,,
,,,,,连通图,,欧拉回路,,,
,,,,,逆元定义,,逆元,,,
,,,,,通路,,欧拉通路,,,
,,,,,除法,,实数,,,
,,,,,顶点,,哈密顿通路,,,
,,,,,鼓轮设计问题,,欧拉回路,,,
,,,,,,6阶循环群,单位元,,,
,,,,,,PERT图,顶点,,,
,,,,,,RSA加密算法,模逆,,,
,,,,,,一次线性同余方程,同余关系,,,
,,,,,,上取整函数,下取整函数,,,
,,,,,,不对称关系,有向图,,,
,,,,,,不等式,定理10.4,,,
,,,,,,个体域,等价关系,,,
,,,,,,中国邮路问题,连通图,,,
,,,,,,乘法,二元运算,,,
,,,,,,二元代数结构,二元运算,,,
,,,,,,二元映射,二元运算,,,
,,,,,,二元运算表,二元运算,,,
,,,,,,二进制数码,鼓轮设计问题,,,
,,,,,,交换群,加法,,,
,,,,,,交错道,通路,,,
,,,,,,代数演算,恒等变形,,,
,,,,,,代数编码,群结构,,,
,,,,,,传递性,等价关系,,,
,,,,,,传递性证明,等价关系,,,
,,,,,,传递闭包,自反闭包,,,
,,,,,,体育竞赛,次序关系,,,
,,,,,,例题5.38,自反闭包,,,
,,,,,,保持性,同余关系,,,
,,,,,,保运算性,同余关系,,,
,,,,,,倒数,乘法,,,
,,,,,,偶数,乘法,,,
,,,,,,偶数条边,连通图,,,
,,,,,,元素分类,等价关系,,,
,,,,,,克鲁斯卡尔算法,回路,,,
,,,,,,入度,有向图,,,
,,,,,,全序关系,实数集合,,,
,,,,,,全集𝐴,幺元,,,
,,,,,,共轭运算,正规子群,,,
,,,,,,关系定义,等价关系,,,
,,,,,,关系矩阵,等价关系,,,
,,,,,,关联矩阵,有向图,,,
,,,,,,关键路径,顶点,,,
,,,,,,减法,二元运算,,,
,,,,,,出发结点,一笔画问题,,,
,,,,,,出度,有向图,,,
,,,,,,函数表达式,二元运算,,,
,,,,,,划分,等价关系,,,
,,,,,,划分块,等价关系,,,
,,,,,,初始结点,弗洛莱算法,,,
,,,,,,删除,回路,,,
,,,,,,删除边,弗洛莱算法,,,
,,,,,,判定定理,半欧拉图,,,
,,,,,,加法,二元运算,,,
,,,,,,加法单位元,单位元,,,
,,,,,,加法运算,实数集合,,,
,,,,,,加法运算性质,幺元,,,
,,,,,,单位矩阵,幺元,,,
,,,,,,单向连通,有向图,,,
,,,,,,单向连通图,通路,,,
,,,,,,双重否定律,谓词公式等值关系,,,
,,,,,,可达性,有向图,,,
,,,,,,可逆元素,单位元,,,
,,,,,,右幺元,幺元,,,
,,,,,,右逆元,左逆元,,,
,,,,,,合取,二元运算,,,
,,,,,,同余,等价关系,,,
,,,,,,同余传递性,同余关系,,,
,,,,,,同余关系,等价关系,,,
,,,,,,同余关系定义,同余关系,,,
,,,,,,同余式,同余关系,,,
,,,,,,同余方程,同余关系,,,
,,,,,,同余类,同余关系,,,
,,,,,,同像关系,同余关系,,,
