start,end,relation,description,source
"""离散数学""","""集合论""","""组成""","""集合论是离散数学的一个分支，研究集合及其相关概念和操作。""","[""第一章  集合与计数基础""]"
"""离散数学""","""数理逻辑""","""组成""","""数理逻辑是离散数学的一个分支，研究离散量间的逻辑关系。""","[""第一章  集合与计数基础""]"
"""离散数学""","""图论""","""组成""","""图论是离散数学的一个分支，研究图及其相关性质和应用。""","[""第一章  集合与计数基础""]"
"""离散数学""","""数论""","""组成""","""数论是离散数学的一个分支，研究整数及其性质。""","[""第一章  集合与计数基础""]"
"""离散数学""","""组合分析""","""组成""","""组合分析是离散数学的一个分支，研究离散物体的组合性质及其计数。""","[""第一章  集合与计数基础""]"
"""离散数学""","""代数结构""","""组成""","""代数结构是离散数学的一个分支，研究代数系统结构性质。""","[""第一章  集合与计数基础""]"
"""离散数学""","""计算机科学""","""支撑""","""离散数学支撑了作为现代信息社会基础的计算机科学。""","[""第一章  集合与计数基础""]"
"""离散数学""","""物理学""","""支撑""","""离散数学支撑了作为近代工业文明基础的物理学。""","[""第一章  集合与计数基础""]"
"""离散数学""","""信息社会""","""基础""","""离散数学是现代信息社会的基础。""","[""第一章  集合与计数基础""]"
"""离散数学""","""数学分支""","""包含""","""离散数学是数学的一个分支。""","[""第一章  集合与计数基础""]"
"""离散数学""","""数与形的关系""","""研究""","""离散数学研究数与形的关系。""","[""第一章  集合与计数基础""]"
"""离散数学""","""集合运算""","""研究""","""离散数学研究集合运算。""","[""第一章  集合与计数基础""]"
"""离散数学""","""集合定义""","""研究""","""离散数学研究集合定义。""","[""第一章  集合与计数基础""]"
"""离散数学""","""运算性质""","""研究""","""离散数学研究运算性质。""","[""第一章  集合与计数基础""]"
"""离散数学""","""关系""","""研究""","""离散数学研究关系。""","[""第一章  集合与计数基础""]"
"""离散数学""","""结构""","""研究""","""离散数学研究结构。""","[""第一章  集合与计数基础""]"
"""离散数学""","""离散量""","""研究""","""离散数学研究离散量。""","[""第一章  集合与计数基础""]"
"""集合论""","""离散数学""","""组成""","""集合论是离散数学的基础，是学习离散数学的先决条件。""","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识""]"
"""集合论""","""数学危机与集合论的由来""","""定义""","""数学危机与集合论的由来是集合论的一个组成部分，解释了集合论的产生背景。""","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识""]"
"""集合论""","""集合的概念与表示""","""组成""","""集合的概念与表示是集合论的基本知识之一。""","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识""]"
"""集合论""","""集合的基本运算""","""组成""","""集合的基本运算是集合论的核心内容之一。""","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识""]"
