type,name,level,attributes,source
"""概念""","""0-1法记分""",6,"{""定义"": ""一种记分方法，用于比赛过程中对选手进行动态排名。"", ""应用"": ""基于偏序关系的反对称性，适用于歌手大赛考评等场合。""}","[""第六章 特殊关系模型"", ""§ 6.3偏序关系与元素比较"", ""6.4.2 得分评判问题""]"
"""性质""","""0和1""",6,"{""定义"": ""加法和乘法中的特殊元素。"", ""特性"": ""0是加法的单位元，1是乘法的单位元。""}","[""第十一章  抽象代数结构通论"", ""§ 11.1 代数结构的基本概念""]"
"""算法""","""3元决策树""",3,"{""定义"": ""通过三个问题解决假币问题的决策树。"", ""应用"": ""解决假币问题。"", ""特点"": ""通过三个步骤确定假币及其重量关系。""}","[""第九章  树的基本理论与算法"", ""§ 9.4 树模型的应用"", ""9.4.1 找假币问题""]"
"""集合""","""A""",4,"{""定义"": ""U的子集。"", ""特征"": ""包含元素a等。""}","[""第七章 函数与特殊函数"", ""§ 7.3 集合的特征函数"", ""7.3.1 特征函数的概念""]"
"""性质""","""A=U""",4,"{""结论"": ""全集的特征函数恒为1。""}","[""第七章 函数与特殊函数"", ""§ 7.3 集合的特征函数"", ""7.3.1 特征函数的概念""]"
"""性质""","""A=∅""",4,"{""结论"": ""空集的特征函数恒为0。""}","[""第七章 函数与特殊函数"", ""§ 7.3 集合的特征函数"", ""7.3.1 特征函数的概念""]"
"""函数""","""A的特征函数""",4,"{""定义"": ""子集A的特征函数是一个从U到{0,1}的二值函数。"", ""特征"": ""元素a属于A时值为1，否则为0。""}","[""第七章 函数与特殊函数"", ""§ 7.3 集合的特征函数"", ""7.3.1 特征函数的概念""]"
"""概念""","""B树增加一层""",7,"{""定义"": ""在插入操作导致根结点分裂时，整个B树增加一层。"", ""条件"": ""根结点分裂时。"", ""过程"": ""重复分裂直到根结点，建立新根结点。""}","[""第九章  树的基本理论与算法"", ""§ 9.3 特殊根数与算法"", ""9.3.3 B树模型"", ""2. B树的插入""]"
"""性质""","""B树性质""",5,"{""定义"": ""B树在插入、删除和查找操作中保持的性质。""}","[""第九章  树的基本理论与算法"", ""§ 9.3 特殊根数与算法"", ""9.3.3 B树模型"", ""2. B树的插入""]"
"""概念""","""B树模型""",2,"{""description"": null, ""relation"": null}","[[""第九章  树的基本理论与算法"", ""§ 9.3 特殊根数与算法"", ""9.3.3 B树模型"", ""2. B树的插入""], [""第九章  树的基本理论与算法"", ""§ 9.3 特殊根数与算法"", ""9.3.3 B树模型"", ""3 . B树的删除""]]"
"""算法""","""B树的插入""",4,"{""条件"": ""插入操作后新树需满足B树性质。"", ""步骤"": ""确定插入位置，分情况讨论插入算法。""}","[""第九章  树的基本理论与算法"", ""§ 9.3 特殊根数与算法"", ""9.3.3 B树模型"", ""2. B树的插入""]"
"""原理""","""CP 规则""",4,"{""description"": null, ""relation"": null}","[[""第四章  谓词演算与推理"", ""§ 4.4 谓词逻辑的推理"", ""4.4.2 谓词推证的基本方法""], [""第四章  谓词演算与推理"", ""§ 4.4 谓词逻辑的推理"", ""4.4.2 谓词推证的基本方法""]]"
"""算法""","""Dinic 算法""",5,"{""定义"": ""一种基于分层图的最大流算法。"", ""特点"": ""使用DFS寻找增广路径。""}","[""第十章  特殊图模型与算法"", ""§ 10.4 网络流图及其优化问题"", ""10.4.3 最大流求解算法""]"
"""符号""","""E""",7,"{""定义"": ""无向图模型中边的集合。""}","[""第九章  树的基本理论与算法"", ""§ 9.1 无向树的基本知识"", ""9.1.1  无向树的概念与性质""]"
"""数学家""","""E.F.Codd""",3,"{""贡献"": ""提出关系代数模型，推动数据库发展。""}","[""第五章 关系模型与理论"", ""§ 5.5 关系模型的应用"", ""5.5.1 关系代数模型""]"
"""原理""","""EG 规则""",4,"{""定义"": ""将全称量词消除的规则。""}","[""第四章  谓词演算与推理"", ""§ 4.4 谓词逻辑的推理"", ""4.4.2 谓词推证的基本方法""]"
"""原理""","""ES 规则""",4,"{""定义"": ""存在实例化规则。"", ""作用"": ""将存在量词替换为具体的个体。"", ""特性"": ""适用于存在量词。""}","[""第四章  谓词演算与推理"", ""§ 4.4 谓词逻辑的推理"", ""4.4.2 谓词推证的基本方法""]"
"""算法""","""Edmonds-Karp 算法""",5,"{""定义"": ""基于Ford-Fulkerson算法的迭代算法，用于求解最大流问题。"", ""特点"": ""使用BFS寻找增广路径。""}","[""第十章  特殊图模型与算法"", ""§ 10.4 网络流图及其优化问题"", ""10.4.3 最大流求解算法""]"
"""算法""","""Fibonacci 数列""",5,"{""定义"": ""数列中每个数字是前两个数字的和。"", ""特点"": ""递归函数，用于生成数列。""}","[""第七章 函数与特殊函数"", ""§ 7.2 函数的基本运算"", ""7.2.3 函数的递归运算""]"
"""算法""","""Floyd 算法""",5,"{""定义"": ""一种用于计算图中所有顶点对之间最短路径的算法。""}","[""第二章  整数与算法设计基础"", ""§ 2.3 算法设计的基本知识"", ""2.3.2 算法效率的度量""]"
"""算法""","""Ford-Fulkerson 算法""",2,"{""定义"": ""一种迭代算法，用于求解最大流问题。"", ""提出者"": ""Ford.L.R 和 Fulkerson.D.R""}","[""第十章  特殊图模型与算法"", ""§ 10.4 网络流图及其优化问题"", ""10.4.3 最大流求解算法""]"
"""符号""","""G""",7,"{""定义"": ""任意给定的无向图模型"", ""性质"": ""连通且不含回路""}","[""第九章  树的基本理论与算法"", ""§ 9.1 无向树的基本知识"", ""9.1.1  无向树的概念与性质""]"
"""概念""","""NP-hard 问题""",4,"{""定义"": ""计算复杂度高的问题，当图中结点较多时，精确算法变得不可行。""}","[""第十章  特殊图模型与算法"", ""§ 10.4 网络流图及其优化问题"", ""10.5.3 最优路线问题""]"
"""原理""","""P 规则""",4,"{""定义"": ""谓词演算中的规则，用于特定情况下的推理。""}","[""第四章  谓词演算与推理"", ""§ 4.4 谓词逻辑的推理"", ""4.4.2 谓词推证的基本方法""]"
"""概念""","""PERT 图模型""",3,"{""定义"": ""一种用于项目管理和时间安排的图形模型。""}","[""第九章  树的基本理论与算法"", ""§ 9.4 树模型的应用"", ""9.4.3 关键道路问题""]"
"""概念""","""PERT图""",3,"{""定义"": ""一种有向连通图，用于表示作业规划问题中的活动及其依赖关系。""}","[""第八章  图的基本理论与算法"", ""§  8.5  图模型的应用"", ""8.5.2 作业规划问题""]"
"""算法""","""RSA算法""",3,"{""定义"": ""一种基于整数模余运算性质的非对称加密算法。"", ""应用"": ""用于数据加密和解密。""}","[""第二章  整数与算法设计基础"", ""§ 2.2 同余算术及其应用"", ""2.2.3 整数加密算法""]"
"""概念""","""R等价类""",4,"{""定义"": ""等价关系$R$下的等价类，即具有相同性质或特征的元素集合。""}","[""第六章 特殊关系模型"", ""§ 6.3偏序关系与元素比较"", ""6.4.1 粗集定义问题""]"
"""原理""","""T 规则""",4,"{""description"": null, ""relation"": null}","[[""第四章  谓词演算与推理"", ""§ 4.4 谓词逻辑的推理"", ""4.4.2 谓词推证的基本方法""], [""第四章  谓词演算与推理"", ""§ 4.4 谓词逻辑的推理"", ""4.4.2 谓词推证的基本方法""]]"
"""集合""","""U""",4,"{""定义"": ""任一给定的集合。"", ""特征"": ""包含元素a, b, c等。""}","[""第七章 函数与特殊函数"", ""§ 7.3 集合的特征函数"", ""7.3.1 特征函数的概念""]"
"""原理""","""UG 规则""",4,"{""定义"": ""将存在量词消除的规则。""}","[""第四章  谓词演算与推理"", ""§ 4.4 谓词逻辑的推理"", ""4.4.2 谓词推证的基本方法""]"
"""原理""","""US 规则""",4,"{""定义"": ""全称实例化规则。"", ""作用"": ""将全称量词替换为具体的个体。"", ""特性"": ""适用于全称量词。""}","[""第四章  谓词演算与推理"", ""§ 4.4 谓词逻辑的推理"", ""4.4.2 谓词推证的基本方法""]"
"""函数""","""U的特征函数""",4,"{""定义"": ""全集U的特征函数恒为1。"", ""特征"": ""全集的特征函数恒为1。""}","[""第七章 函数与特殊函数"", ""§ 7.3 集合的特征函数"", ""7.3.1 特征函数的概念""]"
"""符号""","""V""",7,"{""定义"": ""无向图模型中顶点的集合。""}","[""第九章  树的基本理论与算法"", ""§ 9.1 无向树的基本知识"", ""9.1.1  无向树的概念与性质""]"
"""元素""","""a""",5,"{""description"": null, ""relation"": null}","[[""第二章  整数与算法设计基础"", ""§ 2.1 整数的基本知识"", ""2.1.2 整数的因数分解"", ""一、公因数与公倍数""], [""第七章 函数与特殊函数"", ""§ 7.3 集合的特征函数"", ""7.3.1 特征函数的概念""]]"
"""变量""","""a1""",5,"{""定义"": ""k个不全为零的整数中的第一个整数。""}","[""第二章  整数与算法设计基础"", ""§ 2.1 整数的基本知识"", ""2.1.2 整数的因数分解"", ""一、公因数与公倍数""]"
